"","team","wins","losses","ties","win_perc","offensive_rating","defensive_rating","rank","overall_rating","power_rating"
"24","Boston U.",35,17,0,0.673076923076923,0.250870526807739,0.875401683048606,226,0.493687389871749,0.680696337880583
"25","Bowling Green",16,35,0,0.313725490196078,-0.839959905149646,-1.17824674511374,186,0.247803453138107,0.488682616306576
"26","Bradley",24,29,0,0.452830188679245,-0.878405427920326,0.50197348578365,172,0.383720791508151,0.594822099485328
"27","Brown",30,15,0,0.666666666666667,0.170463026454168,0.918371757511081,251,0.491595859331809,0.679063036542991
"28","Bryant",19,30,0,0.387755102040816,-0.716873718507828,-1.40341368744973,254,0.237856072969712,0.480914587571482
"29","Bucknell",17,26,0,0.395348837209302,-1.54560620271541,-1.30551108438138,238,0.187840138632275,0.441856543285589
"30","Buffalo",17,33,0,0.34,-0.649646531776644,-1.50767878527063,190,0.233967063649998,0.477877613450138
"31","Butler",26,21,0,0.553191489361702,-0.285370706844048,0.451694276790415,211,0.421143528477597,0.624045964583814
"32","BYU",32,16,0,0.666666666666667,1.28803233457945,1.08796749957618,53,0.583926379186879,0.75116504925576
"33","Cal Poly",8,37,0,0.177777777777778,-2.29603225990404,-0.844721933521214,163,0.173250206266535,0.430463089738871
"34","Cal St. Fullerton",36,15,0,0.705882352941177,1.09056417970454,0.463848389771874,137,0.518596595542541,0.700148235982745
"35","California",34,18,0,0.653846153846154,1.83454896583104,1.08292544251065,24,0.621820194229359,0.780756784883556
"36","California Baptist",25,28,0,0.471698113207547,-0.465695637196096,0.264023634162336,95,0.393020924886932,0.602084685422892
"37","Campbell",35,17,0,0.673076923076923,0.242455137311617,1.02282064157525,256,0.505259035983545,0.68973277541359
"38","Canisius",26,24,0,0.52,-0.15792143765604,-0.70722477853798,270,0.33447070668584,0.556362116290853
"39","Central Ark.",28,24,0,0.538461538461538,0.93251818300193,-0.143498432871119,56,0.457413884600173,0.652369921628046
"40","Central Conn. St.",19,28,0,0.404255319148936,-1.52864753100891,-0.294322479926816,288,0.272448434175773,0.507928178216907
"41","Central Mich.",26,24,0,0.52,0.644238073685979,0.864885015107863,153,0.52039411172108,0.701551937971642
"42","Charleston So.",20,28,0,0.416666666666667,-0.543613663027241,-1.51494421498914,168,0.240800391725019,0.483213841476462
"43","Charlotte",30,26,0,0.535714285714286,1.31118763958847,-0.516418183647023,49,0.453193310991622,0.649074024968344
"44","Chattanooga",39,12,0,0.764705882352941,0.0217284583504279,2.32579148332753,165,0.597277059181307,0.761590755730644
"45","Clemson",41,12,0,0.773584905660377,3.01766536360154,2.26585661591295,21,0.802342070201297,0.921728487595645
"46","Cleveland St.",22,19,0,0.536585365853659,-1.27432376621392,-0.149616514716684,267,0.302213778361108,0.531172293252972
"47","Coastal Carolina",37,17,0,0.685185185185185,0.769456197524009,0.635706096237036,76,0.51026520221908,0.693642150798061
"48","Col. of Charleston",31,23,0,0.574074074074074,-1.35507052673298,-0.00490660216589841,207,0.308491647339386,0.536074756594362
"49","Colgate",18,33,0,0.352941176470588,-1.39242828045542,-1.72450036741332,263,0.164012465796664,0.423249227173801
"50","Colorado St.",16,32,0,0.333333333333333,-0.778274366187273,-1.43352393689523,91,0.231068015063564,0.475613711564152
"51","Columbia",22,16,0,0.578947368421053,-0.160392797092401,-0.971954392097665,200,0.312458201390693,0.539172286328648
"52","Coppin St.",3,28,0,0.0967741935483871,-1.66131669721415,-3.37919161653353,311,0.00865765977538274,0.301930791879395
"53","Cornell",16,22,0,0.421052631578947,0.487037454388501,-0.933461906157558,152,0.3610173151859,0.577092681942998
"54","Creighton",27,21,0,0.5625,1.41338116886278,0.180539176294126,178,0.517853427232324,0.699567886916855
"55","CSU Bakersfield",16,34,0,0.32,-0.9645322833958,-1.17152181361582,174,0.23962595180946,0.482296707230333
"56","CSUN",23,23,0,0.5,-1.01079780863394,0.778333102134371,191,0.39723904198928,0.605378663767375
"57","Dartmouth",16,20,0,0.444444444444444,0.324331754179019,0.253704193190271,161,0.447549011209974,0.644666323427728
"58","Dayton",29,16,0,0.644444444444444,0.103483221765015,0.698110236475712,223,0.468729898003864,0.661206732506741
"59","Delaware",37,13,0,0.74,1.09605903447568,1.9020581264245,236,0.637629050246391,0.793102110560305
"60","Delaware St.",25,20,0,0.555555555555556,-1.60372175289219,-0.0405008959980129,309,0.288125268709771,0.520170406730734
"61","DePaul",16,31,0,0.340425531914894,-1.93675414595332,-1.95009710054695,212,0.107245325249385,0.378919084813158
"62","Detroit Mercy",10,33,0,0.232558139534884,-2.70245001508661,-2.22779329934542,244,0.0306625484393365,0.319114673922754
"63","Drake",22,31,0,0.415094339622642,-1.58497175317624,-0.386313509556859,197,0.260911275899356,0.498918672649071
"64","Drexel",5,40,0,0.111111111111111,-1.94727798764319,-4.96642456990145,230,-0.142328848333407,0.184023612929198
"65","Duke",37,15,0,0.711538461538462,2.28636686099139,1.74747835244502,6,0.70831505376134,0.848301660308858
"66","East Carolina",30,24,0,0.555555555555556,1.04084724726948,0.169649261218592,84,0.490841134266379,0.67847366266805
"67","East Texas A&amp;M",10,42,0,0.192307692307692,-1.78536536154892,-3.08329884363076,162,0.0243722058999589,0.314202469827577
"68","Eastern Ill.",29,19,0,0.604166666666667,0.144076173375727,1.53528460056433,250,0.540639344662845,0.717361683711528
"69","Eastern Ky.",34,14,0,0.708333333333333,1.3052456473372,1.04887158378605,149,0.581907722989466,0.749588656368153
"70","Elon",29,18,0,0.617021276595745,0.530489571281489,0.233078771024046,170,0.460298753355835,0.65462275031375
"71","ETSU",17,35,0,0.326923076923077,-1.29185828377314,-1.45565151203829,173,0.193241320369411,0.446074391023111
"72","Evansville",19,32,0,0.372549019607843,-0.761663160991547,-2.35810596763051,231,0.155957643066351,0.416959119289521
"73","Fairfield",24,23,0,0.51063829787234,-0.793014995892315,-0.0934069960513928,235,0.340589688370848,0.561140502635196
"74","FDU",24,23,0,0.51063829787234,-1.30660034819232,-0.0399930660412057,292,0.308994803221433,0.536467677070287
