"","team_name","win_perc"
"283","UCLA",0.854545454545454
"284","UConn",0.666666666666667
"285","UIC",0.166666666666667
"286","UIW",0.574468085106383
"287","ULM",0.618181818181818
"288","UMBC",0.41304347826087
"289","UMES",0.136363636363636
"290","UMass Lowell",0.369565217391304
"291","UNC Greensboro",0.692307692307692
"292","UNCW",0.551020408163265
"293","UNI",0.645833333333333
"294","UNLV",0.489795918367347
"295","USC Upstate",0.72
"296","UT Arlington",0.469387755102041
"297","UT Martin",0.363636363636364
"298","UTEP",0.44
"299","UTSA",0.381818181818182
"300","Utah",0.245283018867925
"301","Utah St.",0.490196078431373
"302","Utah Tech",0.3
"303","Utah Valley",0.333333333333333
"304","Valparaiso",0.387755102040816
"305","Villanova",0.5
"306","Virginia",0.692307692307692
"307","Virginia Tech",0.8
"308","Virginia Union",0
"309","Wagner",0.365853658536585
"310","Washington",0.66
"311","Weber St.",0.462962962962963
"312","West Ga.",0.230769230769231
"313","Western Caro.",0.415094339622642
"314","Western Ill.",0.229166666666667
"315","Western Ky.",0.595744680851064
"316","Western Mich.",0.307692307692308
"317","Western Ore.",0
"318","Wichita St.",0.546296296296296
"319","Winthrop",0.583333333333333
"320","Wisconsin",0.622641509433962
"321","Wofford",0.583333333333333
"322","Yale",0.41304347826087
"323","Youngstown St.",0.264150943396226
