"","team_name","rpi_coef","record","rpi_rank"
"41","Canisius",0.457747378970709,"26-24-0",221
"42","Central Ark.",0.551772425690162,"28-24-0",60
"43","Central Conn. St.",0.439459113576371,"19-28-0",246
"44","Central Mich.",0.49408578146298,"26-24-0",164
"45","Charleston So.",0.479325579559102,"20-28-0",188
"46","Charlotte",0.56243162123713,"30-26-0",49
"47","Chattanooga",0.56456655552631,"39-12-0",45
"48","Chestnut Hill",0.361133617433537,"0-2-0",308
"49","Claflin",0.197203283690809,"0-2-0",323
"50","Clemson",0.624331375435045,"41-12-0",13
"51","Cleveland St.",0.468920985818547,"22-19-0",201
"52","Coastal Carolina",0.564064781240725,"37-17-0",47
"53","Col. of Charleston",0.50154409591287,"31-23-0",145
"54","Colby",0.230611704411304,"0-1-0",321
"55","Colgate",0.422642331836277,"18-33-0",266
"56","Colorado St.",0.469780509138678,"16-32-0",200
"57","Columbia",0.499883686773424,"22-16-0",148
"58","Coppin St.",0.341464577400727,"3-28-0",313
"59","Cornell",0.487283815421872,"16-22-0",173
"60","Creighton",0.506662172217597,"27-21-0",132
"61","Dartmouth",0.477781743755925,"16-20-0",190
"62","Dayton",0.514950253953914,"29-16-0",119
"63","DePaul",0.434594724584698,"16-31-0",257
"64","Delaware",0.515931347327697,"37-13-0",117
"65","Delaware St.",0.415293626579945,"25-20-0",275
"66","Detroit Mercy",0.405259565130968,"10-33-0",289
"67","Drake",0.457934690068698,"22-31-0",219
"68","Drexel",0.392089107852323,"5-40-0",299
"69","Duke",0.625934499963268,"37-15-0",11
"70","ETSU",0.449542132007125,"17-35-0",233
"71","East Carolina",0.53412306055282,"30-24-0",90
"72","East Texas A&M",0.411538514371124,"10-42-0",278
"73","Eastern Ill.",0.495425871883982,"29-19-0",159
"74","Eastern Ky.",0.539623241792833,"34-14-0",76
"75","Elon",0.516302957044024,"29-18-0",115
"76","Evansville",0.444069198339922,"19-32-0",239
"77","FDU",0.438790071975115,"24-23-0",247
"78","FGCU",0.518423439964874,"29-28-0",111
"79","FIU",0.53128389035252,"29-22-0",93
"80","Fairfield",0.458216663275155,"24-23-0",217
"81","Fla. Atlantic",0.587116777099833,"44-9-0",30
"82","Florida",0.661606331046131,"43-14-0",2
"83","Florida A&M",0.490283274584058,"24-18-0",167
"84","Florida St.",0.652916533360165,"44-8-0",4
"85","Fordham",0.50534386978373,"28-24-0",137
"86","Fort Valley St.",0.294389633248815,"0-3-0",318
"87","Fresno St.",0.544120270085177,"33-18-0",66
"88","Furman",0.457865516228005,"15-37-0",220
"89","Ga. Southern",0.530810848832016,"29-23-0",94
"90","Gardner-Webb",0.461270706531863,"23-29-0",211
"91","George Mason",0.435175511182448,"17-34-0",256
"92","George Washington",0.4864644459268,"32-19-0",175
"93","Georgetown",0.432178472091465,"11-32-0",261
"94","Georgia",0.597041849574,"31-20-0",27
"95","Georgia St.",0.452621376615829,"12-41-0",230
"96","Georgia Tech",0.580203960599595,"26-21-0",39
"97","Grambling",0.376273354227682,"15-29-0",306
"98","Grand Canyon",0.580630128574598,"43-6-0",38
"99","Green Bay",0.436294412355434,"18-30-0",251
"100","Hampton",0.392653529587929,"12-33-0",298
"101","Harvard",0.531337465590235,"26-11-0",92
"102","Hawaii",0.518655396823223,"32-18-0",110
"103","Henderson St.",0.452977285217882,"3-1-0",228
"104","Hofstra",0.486809318148126,"20-27-0",174
"105","Holy Cross",0.380502538234944,"8-37-0",303
"106","Houston",0.535302628379096,"21-25-0",87
"107","Houston Christian",0.452100729918162,"17-32-0",231
"108","Howard",0.474797081687077,"29-18-0",197
"109","IU Indy",0.461798069971687,"21-26-0",210
"110","Idaho St.",0.516828533413436,"33-15-0",114
"111","Illinois",0.514052283391367,"22-27-0",120
"112","Illinois St.",0.496717514121839,"21-28-0",154
"113","Indiana",0.578901339901801,"33-17-0",41
